Name,API Name,Instance Memory,vCPUs,Instance Storage,Network Performance,On Demand
R6I 24xlarge,r6i.24xlarge,768,96,EBS only,37.5,6.048
X2IDN 16xlarge,x2idn.16xlarge,1024,64,1900 GB NVMe SSD,50.0,6.669
C6IN Eight Extra Large,c6in.8xlarge,64,32,EBS only,50.0,1.8144
M6G Large,m6g.large,8,2,EBS only,10.0,0.077
X1E Double Extra Large,x1e.2xlarge,244,8,240 GB SSD,10.0,1.668
I2 Quadruple Extra Large,i2.4xlarge,122,16,3200 GB (4×800 GB SSD),51.96050223214286,3.41
I4I Eight Extra Large,i4i.8xlarge,256,32,7500 GB (2×3750 GB NVMe SSD),18.75,2.746
M5AD Extra Large,m5ad.xlarge,16,4,150 GB NVMe SSD,10.0,0.206
C6IN 16xlarge,c6in.16xlarge,128,64,EBS only,100.0,3.6288
I7IE 3xlarge,i7ie.3xlarge,96,12,7500 GB NVMe SSD,25.0,1.5594
R7G Quadruple Extra Large,r7g.4xlarge,128,16,EBS only,15.0,0.8568
I7I Large,i7i.large,16,2,468 GB NVMe SSD,10.0,0.1888
C6GN Eight Extra Large,c6gn.8xlarge,64,32,EBS only,50.0,1.3824
R5D Large,r5d.large,16,2,75 GB NVMe SSD,10.0,0.144
C5 High-CPU Large,c5.large,4,2,EBS only,10.0,0.085
R5AD Large,r5ad.large,16,2,75 GB NVMe SSD,10.0,0.131
M6GD Quadruple Extra Large,m6gd.4xlarge,64,16,950 GB NVMe SSD,10.0,0.7232
C6ID Eight Extra Large,c6id.8xlarge,64,32,1900 GB NVMe SSD,12.5,1.6128
P5 48xlarge,p5.48xlarge,2048,192,30400 GB (8×3800 GB NVMe SSD),3200.0,
G4DN Double Extra Large,g4dn.2xlarge,32,8,225 GB NVMe SSD,25.0,0.752
R5DN 24xlarge,r5dn.24xlarge,768,96,3600 GB (4×900 GB NVMe SSD),100.0,8.016
M7GD Large,m7gd.large,8,2,118 GB NVMe SSD,12.5,0.1068
M6I Extra Large,m6i.xlarge,16,4,EBS only,12.5,0.192
G6 Graphics and Machine Learning GPU Quadruple Extra Large,g6.4xlarge,64,16,600 GB NVMe SSD,25.0,1.3232
R7A 24xlarge,r7a.24xlarge,768,96,EBS only,37.5,7.3032
R4 High-Memory Eight Extra Large,r4.8xlarge,244,32,EBS only,10.0,2.128
I7IE 6xlarge,i7ie.6xlarge,192,24,15000 GB (2×7500 GB NVMe SSD),25.0,3.1188
R7IZ 32xlarge,r7iz.32xlarge,1024,128,EBS only,50.0,11.904
M5A 12xlarge,m5a.12xlarge,192,48,EBS only,10.0,2.064
R5A Quadruple Extra Large,r5a.4xlarge,128,16,EBS only,10.0,0.904
C8GD Large,c8gd.large,4,2,118 GB NVMe SSD,12.5,0.098
R4 High-Memory 16xlarge,r4.16xlarge,488,64,EBS only,25.0,4.256
M5AD 24xlarge,m5ad.24xlarge,384,96,3600 GB (4×900 GB NVMe SSD),20.0,4.944
M5DN Quadruple Extra Large,m5dn.4xlarge,64,16,600 GB (2×300 GB NVMe SSD),25.0,1.088
M7A Double Extra Large,m7a.2xlarge,32,8,EBS only,12.5,0.4637
R6IN Double Extra Large,r6in.2xlarge,64,8,EBS only,40.0,0.6973
